,id,date,tweet
2880,275346615634624514,2012-12-02 21:12:03,Uranium ore now available on Amazon! So much more convenient than Uzbekistan #AwesomeXmasGifts  http://t.co/jqWAJrnY
13477,275346615634624514,2012-12-02 21:12:03,Uranium ore now available on Amazon! So much more convenient than Uzbekistan #AwesomeXmasGifts  http://t.co/jqWAJrnY
15670,1268603809409888256,2020-06-04 18:01:32,@AlexBerenson @JeffBezos Time to break up Amazon. Monopolies are wrong!
25194,275346615634624514,2012-12-02 21:12:03,Uranium ore now available on Amazon! So much more convenient than Uzbekistan #AwesomeXmasGifts  http://t.co/jqWAJrnY
28447,1354018055014260738,2021-01-26,@thesheetztweetz It does not serve the public to hamstring Starlink today for an Amazon satellite system that is at best several years away from operation
